id,score,z_document_dis,z_dist,z_tfidf_cos_sim,z_w2v_unique,z_w2v_dis_e,z_w2v_dis_mink,z_w2v_dis_cityblock,z_w2v_dis_canberra,z_q1_skew,z_q2_skew,z_q1_kur,z_q2_kur
10001,2.0,0.0,0.8048780487804879,0.4813346564769745,1.0,0.15560987234051832,0.0700281479877513,2.141762322669844,31.440073991160713,-0.09435516885624182,-0.07189128263902571,0.4185482397688989,0.38123114467582386
10002,1.333,0.0,0.8214285714285714,0.08810167014598846,1.0,0.18789205855610547,0.08399449282295744,2.617021107418737,37.53011409664249,-0.09023720579526545,-0.09036994721780056,0.4448003712616466,0.3875638611407499
10003,4.0,0.0,0.7058823529411765,0.5717966556549072,1.0,0.27350099118570076,0.12378358420954458,3.738488793557069,51.87021264835691,-0.14088676435245334,-0.08352564546742153,0.15448162505162655,0.2127070375008442
10004,3.8,0.0,0.5647058823529412,0.33338260650634766,1.0,0.48757396252092744,0.22353542052168787,6.686117409552262,77.61438130910601,-0.08803613291047954,-0.11973448397044643,0.40572585395003635,0.03933716515857544
10005,0.0,0.0,0.5070422535211268,0.030742239207029343,1.0,0.7997653560781711,0.3708909188379997,10.92403582299668,110.239382589368,-0.13634321897420446,0.02194718864399823,-0.0774873228531141,0.35696033513544245
10006,3.6,0.0,0.8064516129032258,0.6681537628173828,1.0,0.1555721565911615,0.07328574647289268,2.053123364271607,30.89542411432119,-0.1788771943177293,-0.16145324554923957,0.0640583095033076,0.07867307537563617
10007,4.0,0.0,0.6590909090909091,0.699745774269104,1.0,0.5714131358542778,0.26054087678087423,7.840165567640181,88.97043610968562,-0.06836172538989416,-0.0032434000898520234,-0.07453320671266805,0.23497114088286652
10008,5.0,0.0,0.8813559322033898,0.3012978136539459,1.0,0.3416761290012395,0.15438876612056535,4.736948360140925,53.76060547209282,-0.07951387017332368,-0.020786371361611735,0.3217127976248557,0.42737564280828977
10009,4.8,0.0,0.7883211678832117,0.6874775886535645,1.0,0.23506584939679598,0.10925230617582195,3.182468091207096,46.06014478017904,-0.04233206445260745,-0.004580848166718521,0.4087263021195926,0.5295130732053268
10010,4.25,0.0,0.8837209302325582,0.7372092008590698,1.0,0.554316638419868,0.2531622493676533,7.571808763620096,86.26210802170728,-0.01571951984652101,0.02445564800898662,0.5524618378802759,0.4463882839840476
10011,0.2,0.0,0.7,0.0937511995434761,1.0,0.7996824341553523,0.36023851307861027,11.061988944415852,112.861844542303,0.08090597533209895,-0.07391410862840801,0.30791318337305595,-0.059939863402832305
10012,3.2,0.0,0.8627450980392157,0.6248965263366699,1.0,0.8156997871805426,0.36467180134418076,11.449625689128094,115.05811221776564,-0.032869653007940584,0.08666830671108094,0.4250440716821302,0.47856930694175936
10013,0.2,79.00301131500875,0.3870967741935484,0.04801330342888832,1.0,0.5667487089445153,0.25873984694300173,7.725756951454834,88.10012467355116,-0.0566591952479604,-0.022941373756266314,0.4166388251726003,0.2884043643089824
10014,2.2,0.0,0.5,0.3546459972858429,1.0,0.49515975052487177,0.22845160829838826,6.577725437719271,77.13706668300041,-0.061570124994477914,-0.1381707091541459,0.00837918078087041,0.1744035620347777
