id,score,z_w2v_unique_dis_e_weight,z_w2v_unique_dis_e,z_w2v_unique_dis_mink_w,z_w2v_unique_dis_cityblock_w,z_w2v_unique_dis_canberra_w,z_w2v_unique_dis_mink,z_w2v_unique_dis_cityblock,z_w2v_unique_dis_canberra,z_s1_unique_skew_w,z_s2_unique_skew_w,z_s1_unique_kur_w,z_s2_unique_kur_w,z_s1_unique_skew,z_s2_unique_skew,z_s1_unique_kur,z_s2_unique_kur
10001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1338040881434798,-0.1338040881434798,0.2257603646929267,0.2257603646929267,-0.022008827075591663,-0.022008827075591663,0.1887449305359108,0.1887449305359108
10002,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0610610789344208,-0.0610610789344208,0.5767730865087897,0.5767730865087897,0.03643730794118079,0.03643730794118079,0.22981727166708854,0.22981727166708854
10003,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04301938389638869,-0.04301938389638869,0.15650667484771175,0.15650667484771175,-0.0128064436454039,-0.0128064436454039,-0.029087176632282663,-0.029087176632282663
10004,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04320177549920261,-0.04320177549920261,0.49681621996059766,0.49681621996059766,0.015894580305592047,0.015894580305592047,0.2682684897290337,0.2682684897290337
10005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11570242561738715,-0.11570242561738715,-0.14287019763080977,-0.14287019763080977,0.01653061888471553,0.01653061888471553,-0.18204372054109896,-0.18204372054109896
10006,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17303122338764992,-0.17303122338764992,0.07498804013958926,0.07498804013958926,0.003374559043430174,0.003374559043430174,0.11968524250241463,0.11968524250241463
10007,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08223066889601043,-0.08223066889601043,0.018953625322782663,0.018953625322782663,0.06724648853923108,0.06724648853923108,0.011056847386844648,0.011056847386844648
10008,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1662688773003472,-0.1662688773003472,-0.007500439565263584,-0.007500439565263584,-0.04705882514268147,-0.04705882514268147,0.03401551167703465,0.03401551167703465
10009,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0787873396510206,-0.0787873396510206,0.3784190562089149,0.3784190562089149,0.01169393343806904,0.01169393343806904,0.2101477803013796,0.2101477803013796
10010,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1775763716655905,-0.1775763716655905,0.1483668966876266,0.1483668966876266,0.06745974921227976,0.06745974921227976,0.09208294002513195,0.09208294002513195
