id,score,f_unigram_jaccard,f_unigram_all_jaccard,f_unigram_all_jaccard_max,f_bigram_jaccard,f_bigram_all_jaccard,f_bigram_all_jaccard_max,f_trigram_jaccard,f_trigram_all_jaccard,f_trigram_all_jaccard_max,f_trigram_tfidf_cosine,f_trigram_tfidf_l2_euclidean,f_trigram_tfidf_l1_euclidean,f_trigram_tf_l2_euclidean
10001,2.0,0.9375,0.4268292682926829,0.7446808510638298,0.5909090909090909,0.375,0.6,0.52,0.34615384615384615,0.5294117647058824,0.37846002294616765,0.8700115205515014,0.14616940657083366,0.7626031960796495
10002,1.333,0.8,0.42857142857142855,0.75,0.6,0.35185185185185186,0.5428571428571428,0.4166666666666667,0.28846153846153844,0.40540540540540543,0.6479587368936293,1.138383711139288,0.24626017909536307,0.9022200914090961
10003,4.0,0.9523809523809523,0.4215686274509804,0.7288135593220338,0.5,0.33,0.4925373134328358,0.352112676056338,0.25510204081632654,0.3424657534246575,0.4229796040260084,0.9197604079606913,0.13992139850457053,0.9674972617931351
10004,3.8,0.6666666666666666,0.35294117647058826,0.5454545454545454,0.45652173913043476,0.27710843373493976,0.38333333333333336,0.3392857142857143,0.24691358024691357,0.32786885245901637,0.36502313263060127,0.8544274487990204,0.1595183264000723,0.896597102274252
10005,0.0,0.6,0.323943661971831,0.4791666666666667,0.23076923076923078,0.18840579710144928,0.23214285714285715,0.1016949152542373,0.09230769230769231,0.1016949152542373,0.9555076365897838,1.3823947602546705,0.2686038121433819,1.2740311708067442
10006,3.6,0.8235294117647058,0.4032258064516129,0.6756756756756757,0.6060606060606061,0.38333333333333336,0.6216216216216216,0.6,0.3793103448275862,0.6111111111111112,0.2160001097695321,0.6572672360152028,0.14326250904901563,0.6494380046382949
10007,4.0,0.7142857142857143,0.36363636363636365,0.5714285714285714,0.41818181818181815,0.29069767441860467,0.4098360655737705,0.38333333333333336,0.27380952380952384,0.3770491803278688,0.3498798827421069,0.8365164466310353,0.1545595447437835,0.9151706118142352
10008,5.0,0.9230769230769231,0.4576271186440678,0.84375,0.7857142857142857,0.42105263157894735,0.7272727272727273,0.65625,0.4,0.6666666666666666,0.36915371775365,0.859248180392196,0.1739175734026188,0.6104486803246076
10009,4.8,1.0,0.45255474452554745,0.8266666666666667,0.6349206349206349,0.3805970149253731,0.6144578313253012,0.5061728395061729,0.3282442748091603,0.48863636363636365,0.37155207208513097,0.8620348857037411,0.11538580299589309,0.821868385409097
10010,4.25,0.8666666666666667,0.4418604651162791,0.7916666666666666,0.7727272727272727,0.4146341463414634,0.7083333333333334,0.6956521739130435,0.41025641025641024,0.6956521739130435,0.17377170146313026,0.5895281188597036,0.13933435930773477,0.5986941094279727
10011,0.2,0.47058823529411764,0.35,0.5384615384615384,0.37037037037037035,0.2631578947368421,0.35714285714285715,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.8614103338523402,1.3125626338215943,0.34469271824251807,1.0480945225930638
